Transmiter,Date,Time (UT),Class,Ix[W/m2],Delta Amp [dB],Delta Phase [deg],Beta,Reflection height,Electron density
DHO,10 Mar 2014,10:43,C6.1,6.1E-6,4.56,40,0.553,65,31343747839.9703
DHO,10 Mar2014,11:42,C6.0,6E-6,3,34,0.374,68.1,1963276608.05878
DHO,11 Mar 2014,10:17,C6.7,6.7E-6,3.4,16,0.411,68.9,1757891037.23661
DHO,23 Mar 2014,09:05,C2.9,2.9E-6,2.3,4,0.373,70.84,702362810.947977
DHO,22 Mar 2014,09:05,C4.8,2.4E-6,4.4,26,0.5,66.8,7909106493.11403
DHO,30 Mar 2014,11:55,M2.1,2.1E-5,4,67,0.539,61,238654002861.357
DHO,15 Apr 2014,09:23,C8.6,8.6E-6,4.07,36,0.461,66.3,7521118143.83242
DHO,15 Apr 2014,09:57,C4.4,4.4E-6,1.7,20,0.317,71.25,516729793.748391
DHO,17 Apr 2014,11:54,C3.9,3.9E-6,3,20,0.385,69.2,1371650578.19062
DHO,18 Apr 2014,08:09,C4.8,4.8E-6,4,30,0.452,67,5114168454.75861
DHO,20 Apr 2014,08:13,C6.4,6.4E-6,3.8,25,0.451,67.5,4053232926.93613
DHO,24 Apr 2014,10:16,C2.9,2.9E-6,1.85,10,0.339,71.3,539730583.293813
DHO,04 May 2014,09:05,C2.5,2.5E-6,2,12,0.342,71.1,582640346.857626
DHO,04 May 2014,12:31,C9.2,9.2E-6,2.81,24,0.368,69.25,1241120767.61754
DHO,27 May 2014,14:15,C4.9,4.9E-6,1.34,4,0.334,72.1,407634155.817131
DHO,09 June 2014,12:29,C9.0,9E-6,2.16,23,0.419,68.6,2076356793.21724
DHO,29 June 2014,11:52,C4.9,4.9E-6,2.2,26,0.419,68.4,2257854026.19397
DHO,01 July 2014,10:15,C6.0,6E-6,3,24,0.491,67.4,5521308151.8747
DHO,01 July 2014,11:23,M1.4,1.4E-5,2.9,24,0.492,67.5,5291039959.50778
DHO,04 July 2014,14:39,C4.6,4.6E-6,1.59,9,0.407,69.8,1194126333.40844
DHO,12 July 2014,14:08,C4.6,4.6E-6,2,15,0.425,69.25,1627043910.08658
DHO,13 July 2014,09:03,C6.4,6.4E-6,3.15,26,0.513,67.2,7073920244.38695
DHO,05 Sep 2014,09:33,C3.2,3.2E-6,1,7,0.316,72.55,341712621.301498
DHO,06 Sep 2014,08:14,C8.0,8E-6,2.45,19,0.386,69.15,1405108910.63548
DHO,11 Sep 2014,15:26,M2.1,2.1E-5,4.5,19,0.501,67.45,5752098911.26029
DHO,18 Sep 2014,08:41,M1.2,1.2E-5,3.9,36,0.461,66.6,6549670979.4995
DHO,21 Sep 2014,11:53,C5.2,5.2E-6,2.8,13,0.378,69.95,998915404.846954
DHO,27 Sep 2014,08:37,M1.0,1E-5,3,20,0.388,69.1,1446598323.12389
DHO,09 Oct 2014,09:27,C7.9,7.9E-6,3.4,17,0.41,68.9,1748948615.50481
DHO,16 Oct 2014,09:23,C6.4,6.4E-6,3.7,13,0.435,68.75,2120739431.3584
DHO,17 Oct 2014,12:49,C3.6,3.6E-6,2.7,8,0.383,70.25,908704623.957917
DHO,19 Oct 2014,11:19,C4.2,4.2E-6,3,10,0.4,69.65,1231231411.64367
DHO,19 Oct 2014,12:14,C5.8,5.8E-6,3.2,15,0.398,69.75,1172941640.68622
DHO,23 Oct 2014,09:50,M1.1,1.1E-5,4.3,26,0.486,66.95,6647991747.80849
DHO,25 Oct 2014,09:49,C4.6,4.6E-6,2.5,10,0.371,70.4,821695669.89316
DHO,26 Oct 2014,10:56,X2.0,2E-4,3,58,0.405,65,8273145738.78219
DHO,28 Oct 2014,08:24,C6.5,6.5E-6,3.1,19,0.382,69.3,1301366434.94432
DHO,28 Oct 2014,11:06,C5.3,5.3E-6,3.2,13,0.402,69.4,1373297546.86802
DHO,10 Nov 2014,12:37,C5.0,5E-6,3.7,20,0.43,68.3,2506819495.15763
DHO,11 Nov 2014,11:22,C6.7,6.7E-6,3.58,13,0.425,69.1,1734145554.40934
DHO,12 Nov 2014,10:46,C5.1,5.1E-6,4.1,15,0.469,68.1,3438773325.09063
DHO,05 Dec 2014,10:26,C1.6,1.6E-6,1,3,0.325,72.45,357637568.543735
DHO,09 Dec 2014,08:30,C8.1,8.1E-6,2.33,13,0.355,70.55,735477608.182107
DHO,09 Dec 2014,10:24,C8.6,8.6E-6,4,24,0.461,67.45,4426303521.67114
DHO,11 Dec 2014,08:56,C3.8,3.8E-6,2,13,0.344,70.95,617062364.15893
DHO,13 Dec 2014,10:10,C4.0,4E-6,2.6,7,0.38,70.4,848754597.145647
DHO,13 Dec 2014,10:53,C3.8,3.8E-6,1.4,5,0.331,72.15,398664453.828692
DHO,14 Dec 2014,08:33,C8.5,8.5E-6,2.75,13,0.377,69.95,994877978.763798
DHO,16 Dec 2014,10:17,C4.1,4.1E-6,2.07,15,0.38,71,675714125.434518
DHO,16 Dec 2014,11:40,C5.6,5.6E-6,2,11,0.346,71.05,599724327.357304
DHO,19 Dec 2014,09:44,M1.1,1.1E-5,4.7,8,0.53,68,5196653268.87919
DHO,21 Dec 2014,12:17,M1.2,1.2E-5,4.4,6,0.499,68.4,3533945019.69432
DHO,22 Dec 2014,11:07,C7.0,7E-6,3.7,17,0.432,68.5,2325685458.03392
